service_slug,service_name,service_short,description,avg_cost_low,avg_cost_high,duration
interior-demolition,Interior Demolition,Interior Demo,"Complete interior demolition including walls, flooring, ceilings, and fixtures. Ideal for full renovations and gut jobs.",1500,8000,"1-3 days"
shed-demolition,Shed & Structure Demolition,Shed Demo,"Removal of sheds, garages, carports, and small outbuildings. Site left clean and cleared.",500,2500,"Same day"
deck-demolition,Deck & Patio Demolition,Deck Removal,"Tear-out of wood decks, concrete patios, pergolas, and outdoor structures.",800,3500,"1-2 days"
wall-removal,Load-Bearing Wall Removal,Wall Removal,"Safe removal of interior walls including load-bearing walls. Structural assessment included.",1200,5000,"1-2 days"
concrete-removal,Concrete Breaking & Removal,Concrete Demo,"Breaking and hauling of driveways, slabs, foundations, sidewalks, and concrete structures.",1000,6000,"1-2 days"
kitchen-demolition,Kitchen Demolition,Kitchen Demo,"Full kitchen gut including cabinets, countertops, tile, flooring, and appliance disconnection.",1500,5000,"1-2 days"
bathroom-demolition,Bathroom Demolition,Bathroom Demo,"Complete bathroom teardown including tile, fixtures, vanities, and sub-floor if needed.",800,3500,"Same day - 1 day"
garage-demolition,Garage Demolition,Garage Demo,"Detached garage removal with full site cleanup and concrete slab removal available.",2500,8000,"1-2 days"
selective-demolition,Selective Demolition,Selective Demo,"Precision removal of specific elements while preserving surrounding structure. Common in remodels.",1000,10000,"Varies"
flooring-removal,Flooring Removal,Flooring Demo,"Removal of tile, hardwood, carpet, laminate, and sub-flooring. Fast turnaround for renovation prep.",500,3000,"Same day - 1 day"
driveway-removal,Driveway Removal,Driveway Demo,"Breaking and hauling of asphalt or concrete driveways. Site graded and ready for new pour.",800,4000,"1-2 days"
chimney-demolition,Chimney Demolition,Chimney Demo,"Safe removal of chimneys, fireplaces, and hearths including full interior and exterior teardown.",1500,6000,"1-2 days"
commercial-demolition,Commercial Demolition,Commercial Demo,"Interior and structural demolition for commercial properties, office build-outs, and retail spaces.",3000,25000,"Varies"
mobile-home-demolition,Mobile Home Demolition,Mobile Home Demo,"Complete mobile home and manufactured home removal including foundation, utilities, and site cleanup.",3000,12000,"2-3 days"
fence-removal,Fence & Wall Removal,Fence Removal,"Removal of wood, vinyl, chain-link, block, and masonry fences and retaining walls.",400,2500,"Same day"
addition-demolition,Room Addition Demolition,Addition Demo,"Teardown of additions, sunrooms, patios, and attached structures during renovation or re-permit projects.",1500,8000,"1-2 days"
stucco-removal,Stucco & Drywall Removal,Stucco Removal,"Removal of stucco, drywall, and plaster from walls and ceilings. Ideal for remodel and mold remediation prep.",600,3500,"Same day - 1 day"
whole-house-demolition,Whole House Demolition,House Demo,"Complete whole house demolition and removal. Licensed CA contractor handles permits, utility disconnect, debris hauling, and site clearing.",8000,35000,"2-5 days"
